,BV
% Above Low,0.0738
% Held by Institutions,0.9470999999999999
52-Wk Range,['6.91 - 15.33']
Annual Dividend $,
Annual Dividend %,
Ask,7.57
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,6.84
Bid Size,200.0
Closing Price,7.42
Day Change $,0.24
Day Change %,0.0334
Day High,7.46
Day Low,7.12
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.18
Ex-dividend Date,No dividend
Historical Volatility,0.44200000000000006
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,688.2M
"P/E Ratio (TTM, GAAP)",40.78
Prev Close,7.18
Short Interest,0.0384
Today's Open,7.18
Volume,91973.0
Volume 10-day Avg,280569.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.4158415841584159
Growth 1yr High Est,-0.2924528301886793
Growth 1yr Consensus Est,-0.3541472071735476
Growth 2yr Low Est,-0.13164960563852995
Growth 2yr High Est,-0.012893081761006342
Growth 2yr Consensus Est,-0.07227134369976815
Growth 5yr Low Est,-0.001264763927675272
Growth 5yr High Est,0.03199591943695715
Growth 5yr Consensus Est,0.015365577754640938
Growth 5yr Actual/Est,0.005866807141079039
Growth 3yr Historic,0.04425366300366301
Price/Earnings (TTM),40.78043
Price/Sales (TTM),0.24872
Price/Book (MRQ),0.56711
Price/Cash Flow (TTM),4.19745
5yr Low,6.85
5yr High,23.42
5yr Avg Return,-0.1018
Short Int Current Month,1443198.0
Short Int Prev Month,1365039.0
Short Int Pct of Float,0.0383596
Days to Cover,6.49943
Float,37.89229
Shares Outstanding,93.0
Institutions Holding Shares,170.0
FCF Growth 5yr,-0.5099666807362214
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",40.78
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2432
Operating Profit Margin (TTM),0.0319
Net Profit Margin (TTM),0.005
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5659000000000001
EPS Growth (TTM),-0.4668
Revenue Growth (MRQ),-0.032100000000000004
Revenue Growth (TTM),0.08650000000000001
Return On Equity (TTM),0.010900000000000002
Return On Assets (TTM),0.0043
Return On Investment (TTM),0.005
Revenue Per Employee (TTM),132119.0
Total Debt/Total Capital (MRQ),0.5246000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0015
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.48
cfra,
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
theStreet since,2021-08-23 00:00:00
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
