,BZH
Price/Earnings (TTM),1.90041
Price/Sales (TTM),0.18152
Price/Book (MRQ),0.44777
Price/Cash Flow (TTM),1.79678
5yr Low,4.39
5yr High,26.12
5yr Avg Return,0.014383333333333326
EPS Growth 5yr,0.4871176
Revenue Growth 5yr,0.038707
Dividend Growth 5yr,
Short Int Current Month,1611287.0
Short Int Prev Month,1651681.0
Short Int Pct of Float,0.0559606
Days to Cover,3.47894
Float,28.89555
Shares Outstanding,30.88014
Institutions Holding Shares,193.0
% Held by Institutions,0.764002
FCF Growth 5yr,0.050854075856711756
