,C
Price/Earnings (TTM),6.51159
Price/Sales (TTM),1.24283
Price/Book (MRQ),0.52087
Price/Cash Flow (TTM),4.94243
5yr Low,32.0
5yr High,83.11
5yr Avg Return,-0.024900000000000002
EPS Growth 5yr,0.1641507
Revenue Growth 5yr,-0.027370000000000002
Dividend Growth 5yr,0.37175379999999997
Short Int Current Month,29199317.0
Short Int Prev Month,29980897.0
Short Int Pct of Float,0.015116600000000001
Days to Cover,1.58844
Float,1932.746
Shares Outstanding,1936.853
Institutions Holding Shares,2138.0
% Held by Institutions,0.700951
FCF Growth 5yr,-0.5012284920116293
