,CAC
% Above Low,0.0808
% Held by Institutions,0.6907
52-Wk Range,['40.46 - 52.16']
Annual Dividend $,1.6
Annual Dividend %,0.0366
Ask,45.25
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,23.8
Bid Size,100.0
Closing Price,43.73
Day Change $,0.57
Day Change %,0.0132
Day High,43.74
Day Low,43.26
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",4.22
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.228
Last (size),7.0
Last (time),12:59p ET 11/25/22
Market Cap,637.1M
"P/E Ratio (TTM, GAAP)",10.36
Prev Close,43.16
Shares Outstanding,14.6M
Short Interest,0.0308
Today's Open,43.26
Volume,11315.0
Volume 10-day Avg,38277.0
Volume Past Day,(Light)
