,CACI
% Below High,0.0078000000000000005
% Held by Institutions,0.8828
52-Wk Range,['238.29 - 313.52']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,124.18
Bid Size,
Closing Price,311.08
Day Change $,5.45
Day Change %,0.0178
Day High,311.52
Day Low,307.15
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",15.56
Ex-dividend Date,No dividend
Historical Volatility,0.27899999999999997
Last (size),138.0
Last (time),5:00p ET 11/25/22
Market Cap,7.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.99
Prev Close,305.63
Shares Outstanding,23.5M
Short Interest,0.0139
Today's Open,307.4
Volume,33587.0
Volume 10-day Avg,135752.0
Volume Past Day,(Light)
