,CAKE
Price/Earnings (TTM),37.83146
Price/Sales (TTM),0.59503
Price/Book (MRQ),5.89066
Price/Cash Flow (TTM),13.72752
5yr Low,14.52
5yr High,65.81
5yr Avg Return,-0.031166666666666665
EPS Growth 5yr,-0.1852214
Revenue Growth 5yr,0.051663600000000004
Dividend Growth 5yr,
Short Int Current Month,7959357.0
Short Int Prev Month,6872029.0
Short Int Pct of Float,0.1668056
Days to Cover,5.91231
Float,47.73881
Shares Outstanding,51.42014
Institutions Holding Shares,300.0
% Held by Institutions,0.889427
FCF Growth 5yr,2.357589261313294
