,CALX
% Below High,0.155
% Held by Institutions,0.8371
52-Wk Range,['31.59 - 80.95']
Annual Dividend $,
Annual Dividend %,
Ask,80.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,52.0
Bid Size,100.0
Closing Price,68.4
Day Change $,-0.09
Day Change %,-0.0013
Day High,69.69
Day Low,67.27
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.71
Ex-dividend Date,No dividend
Historical Volatility,0.652
Last (size),27.0
Last (time),5:00p ET 11/25/22
Market Cap,4.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",96.03
Prev Close,68.49
Shares Outstanding,65.4M
Short Interest,0.0263
Today's Open,67.99
Volume,130425.0
Volume 10-day Avg,452107.0
Volume Past Day,(Light)
