,CARS
Price/Earnings (TTM),1310.67
Price/Sales (TTM),1.43569
Price/Book (MRQ),2.46431
Price/Cash Flow (TTM),9.52381
5yr Low,3.25
5yr High,32.94
5yr Avg Return,-0.04778333333333333
EPS Growth 5yr,-0.46477029999999997
Revenue Growth 5yr,-0.0029946
Dividend Growth 5yr,
Short Int Current Month,2161974.0
Short Int Prev Month,2718047.0
Short Int Pct of Float,0.0352743
Days to Cover,3.35167
Float,61.2903
Shares Outstanding,66.61041
Institutions Holding Shares,249.0
% Held by Institutions,0.974053
FCF Growth 5yr,0.26054576931827866
