,CBU
Price/Earnings (TTM),19.79483
Price/Sales (TTM),5.28347
Price/Book (MRQ),2.39781
Price/Cash Flow (TTM),16.71413
5yr Low,47.01
5yr High,82.53
5yr Avg Return,0.04303333333333332
EPS Growth 5yr,0.0842798
Revenue Growth 5yr,0.063189
Dividend Growth 5yr,0.0621732
Short Int Current Month,1753822.0
Short Int Prev Month,2048828.0
Short Int Pct of Float,0.033041299999999996
Days to Cover,8.15287
Float,53.07969
Shares Outstanding,53.7344
Institutions Holding Shares,317.0
% Held by Institutions,0.7434959999999999
FCF Growth 5yr,0.18601717058603953
