,CCK
Price/Earnings (TTM),
Price/Sales (TTM),0.76549
Price/Book (MRQ),5.96635
Price/Cash Flow (TTM),44.57372
5yr Low,39.05
5yr High,130.42
5yr Avg Return,0.11151666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.0658282
Dividend Growth 5yr,
Short Int Current Month,3362946.0
Short Int Prev Month,2927535.0
Short Int Pct of Float,0.0285623
Days to Cover,1.75494
Float,117.7924
Shares Outstanding,119.9462
Institutions Holding Shares,647.0
% Held by Institutions,1.032446
FCF Growth 5yr,-1.0915930445794435
