,CCO
% Above Low,0.1578
% Held by Institutions,0.9655
52-Wk Range,['0.9069 - 4.10']
Annual Dividend $,
Annual Dividend %,
Ask,1.15
Ask Size,1500.0
B/A Ratio,0.3333333333333333
B/A Size,500x1500
Beta,2.3
Bid,1.0
Bid Size,500.0
Closing Price,1.05
Day Change $,-0.04
Day Change %,-0.036699999999999997
Day High,1.1
Day Low,1.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.28
Ex-dividend Date,No dividend
Historical Volatility,0.878
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,504.6M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,1.09
Short Interest,0.07139999999999999
Today's Open,1.09
Volume,498989.0
Volume 10-day Avg,2106103.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.5436893203883495
Growth 1yr High Est,-0.5844155844155845
Growth 1yr Consensus Est,-0.564052452401967
Growth 2yr Low Est,-0.18673827721545122
Growth 2yr High Est,-0.8547077922077922
Growth 2yr Consensus Est,-0.5207230347116217
Growth 5yr Low Est,-0.09336913860772561
Growth 5yr High Est,-0.4273538961038961
Growth 5yr Consensus Est,-0.26036151735581087
Growth 5yr Actual/Est,-0.23173582600195505
Growth 3yr Historic,0.04111363636363635
Price/Earnings (TTM),
Price/Sales (TTM),0.19929
Price/Book (MRQ),
Price/Cash Flow (TTM),3.53967
5yr Low,0.3625
5yr High,6.38
5yr Avg Return,-0.054766666666666665
EPS Growth 5yr,
Revenue Growth 5yr,-0.0351234
Dividend Growth 5yr,
Short Int Current Month,33444752.0
Short Int Prev Month,34499334.0
Short Int Pct of Float,0.07136289999999999
Days to Cover,12.87073
Float,468.5619
Shares Outstanding,476.0554
Institutions Holding Shares,223.0
FCF Growth 5yr,-3.167367186343178
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.47200000000000003
Operating Profit Margin (TTM),0.10470000000000002
Net Profit Margin (TTM),-0.052000000000000005
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.27640000000000003
EPS Growth (TTM),0.7909999999999999
Revenue Growth (MRQ),0.22390000000000002
Revenue Growth (TTM),0.3265
Return On Equity (TTM),
Return On Assets (TTM),-0.025
Return On Investment (TTM),-0.0313
Revenue Per Employee (TTM),545260.0
Total Debt/Total Capital (MRQ),2.4824
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.1
researchTeam,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam since,2019-04-18 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,2018-11-08 00:00:00
marketEdge opinion since,
marketEdge since,2019-05-08 00:00:00
theStreet since,
