,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,8.55,23.05,22.49,23.89,42.01,32.29,,,,,
low,6.05,7.95,12.68,8.43,16.55,4.81,,,,,
change,0.3577,0.9763,-0.0268,0.35509999999999997,0.401,-0.8291,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,116797.0,94260.0,90113.0,108689.0,Balance Sheet
Short Term Investments,,,,,,,0.0,,,,Balance Sheet
Cash and Short Term Invs,,,,,,,116797.0,94260.0,90113.0,108689.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,24953.0,25197.0,29200.0,16527.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-416.0,-416.0,-109.0,-109.0,Balance Sheet
"Total Receivables, Net",,,,,,,37652.0,44116.0,48921.0,29775.0,Balance Sheet
Invent. - Finished Goods,,,,,,,1046.0,1351.0,1596.0,1552.0,Balance Sheet
Invent. - Work In Progress,,,,,,,65.0,160.0,73.0,22.0,Balance Sheet
Invent. - Raw Materials,,,,,,,49.0,49.0,49.0,49.0,Balance Sheet
Total Inventory,,,,,,,1160.0,1560.0,1718.0,1623.0,Balance Sheet
Prepaid Expenses,,,,,,,5700.0,4365.0,3985.0,5382.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,579.0,568.0,546.0,528.0,Balance Sheet
Total Current Assets,,,,,,,161888.0,144869.0,145283.0,145997.0,Balance Sheet
Buildings,,,,,,,16117.0,16506.0,16609.0,16617.0,Balance Sheet
Machinery/Equipment,,,,,,,36582.0,40000.0,42214.0,43267.0,Balance Sheet
Construction in Progress,,,,,,,3231.0,2450.0,1670.0,1459.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,45409.0,44209.0,43026.0,41819.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,101339.0,103165.0,103519.0,103162.0,Balance Sheet
Accumulated Depreciation,,,,,,,-35882.0,-36779.0,-38119.0,-39350.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,65457.0,66386.0,65400.0,63812.0,Balance Sheet
"Goodwill, Net",,,,,,,3241.0,3241.0,3241.0,3241.0,Balance Sheet
Long Term Investments,,,,,,,14002.0,19002.0,19302.0,20510.0,Balance Sheet
Other Long Term Assets,,,,,,,276.0,257.0,224.0,208.0,Balance Sheet
