,CE
% Above Low,0.20690000000000003
% Held by Institutions,0.9495
52-Wk Range,['86.71 - 176.50']
Annual Dividend $,2.8
Annual Dividend %,0.0268
Ask,107.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,104.6
Bid Size,100.0
Closing Price,104.64
Day Change $,0.42
Day Change %,0.004
Day High,105.82
Day Low,103.84
Dividend Pay Date,2022-11-14 00:00:00
"EPS (TTM, GAAP)",15.19
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.39799999999999996
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,11.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.89
Prev Close,104.22
Shares Outstanding,108.4M
Short Interest,0.0207
Today's Open,104.03
Volume,301669.0
Volume 10-day Avg,1144269.0
Volume Past Day,(Light)
