,CERE
% Above Low,0.4355
% Held by Institutions,0.8529000000000001
52-Wk Range,['19.86 - 41.46']
Annual Dividend $,
Annual Dividend %,
Ask,31.41
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,
Bid,25.0
Bid Size,500.0
Closing Price,28.51
Day Change $,-0.62
Day Change %,-0.0213
Day High,29.14
Day Low,28.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.13
Ex-dividend Date,No dividend
Historical Volatility,0.752
Last (size),26.0
Last (time),12:59p ET 11/25/22
Market Cap,4.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,29.13
Short Interest,0.08259999999999999
Today's Open,28.92
Volume,123111.0
Volume 10-day Avg,489671.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.4176470588235295
Growth 1yr High Est,0.45999999999999996
Growth 1yr Consensus Est,0.4388235294117647
Growth 2yr Low Est,0.3187820356358311
Growth 2yr High Est,0.22999999999999998
Growth 2yr Consensus Est,0.27439101781791553
Growth 5yr Low Est,0.3187820356358311
Growth 5yr High Est,0.22999999999999998
Growth 5yr Consensus Est,0.27439101781791553
Growth 5yr Actual/Est,0.11904358536030686
Growth 3yr Historic,-0.05970149253731342
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),7.38282
Price/Cash Flow (TTM),
5yr Low,9.0
5yr High,46.16
5yr Avg Return,0.33333333333333337
Short Int Current Month,5039082.0
Short Int Prev Month,5637967.0
Short Int Pct of Float,0.08255219999999999
Days to Cover,8.54027
Float,128.7712
Shares Outstanding,156.3226
Institutions Holding Shares,170.0
FCF Growth 5yr,0.27920582706766917
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0756
EPS Growth (TTM),0.31260000000000004
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.5157
Return On Assets (TTM),-0.3478
Return On Investment (TTM),-0.36600000000000005
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.35700000000000004
Change in Debt/Total Capital Quarter over Quarter,0.04820000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),-86.9
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-09-16 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
