,CEVA
% Above Low,0.1569
% Held by Institutions,0.8752
52-Wk Range,['23.71 - 46.80']
Annual Dividend $,
Annual Dividend %,
Ask,29.59
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,1.1
Bid,11.0
Bid Size,200.0
Closing Price,27.43
Day Change $,-0.34
Day Change %,-0.012199999999999999
Day High,27.96
Day Low,27.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.93
Ex-dividend Date,No dividend
Historical Volatility,0.513
Last (size),11.0
Last (time),12:59p ET 11/25/22
Market Cap,634.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,27.77
Short Interest,0.0241
Today's Open,27.87
Volume,50266.0
Volume 10-day Avg,100317.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.4444444444444444
Growth 2yr High Est,0.21621621621621623
Growth 2yr Consensus Est,-0.1141141141141141
Growth 5yr Low Est,-0.4444444444444444
Growth 5yr High Est,0.21621621621621623
Growth 5yr Consensus Est,-0.1141141141141141
Growth 5yr Actual/Est,0.04214122210117105
Growth 3yr Historic,0.02507062146892658
Price/Earnings (TTM),
Price/Sales (TTM),4.70084
Price/Book (MRQ),2.52097
Price/Cash Flow (TTM),
5yr Low,20.4
5yr High,83.95
5yr Avg Return,-0.024916666666666656
EPS Growth 5yr,-0.510742
Revenue Growth 5yr,0.11050990000000001
Dividend Growth 5yr,
Short Int Current Month,527187.0
Short Int Prev Month,633712.0
Short Int Pct of Float,0.024085899999999997
Days to Cover,5.43464
Float,21.88545
Shares Outstanding,23.18765
Institutions Holding Shares,223.0
FCF Growth 5yr,-1.4024029715912614
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7997
Operating Profit Margin (TTM),-0.0169
Net Profit Margin (TTM),-0.157
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-18.8702
EPS Growth (TTM),-6.3782000000000005
Revenue Growth (MRQ),0.013999999999999999
Revenue Growth (TTM),0.1585
Return On Equity (TTM),-0.08140000000000001
Return On Assets (TTM),-0.0694
Return On Investment (TTM),-0.0767
Revenue Per Employee (TTM),284250.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),-1.37
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-10 00:00:00
ford since,2020-08-14 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-11-10 00:00:00
