,CFB
% Above Low,0.1328
% Held by Institutions,0.5356000000000001
52-Wk Range,['12.27 - 16.50']
Annual Dividend $,
Annual Dividend %,
Ask,22.22
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,
Bid,5.56
Bid Size,200.0
Closing Price,13.9
Day Change $,0.28
Day Change %,0.0206
Day High,13.94
Day Low,13.75
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.39
Ex-dividend Date,No dividend
Historical Volatility,0.255
Last (size),22.0
Last (time),12:58p ET 11/25/22
Market Cap,674.3M
"P/E Ratio (TTM, GAAP)",10.01
Prev Close,13.62
Short Interest,0.025
Today's Open,13.75
Volume,34491.0
Volume 10-day Avg,74084.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,5.095238095238096
Growth 1yr High Est,3.9642857142857135
Growth 1yr Consensus Est,4.529761904761905
Growth 2yr Low Est,2.594494047619048
Growth 2yr High Est,2.0396968139773892
Growth 2yr Consensus Est,2.3170954307982186
Growth 5yr Low Est,1.1145547161172162
Growth 5yr High Est,0.8541857563862849
Growth 5yr Consensus Est,0.9843702362517507
Growth 5yr Actual/Est,1.0444382794335234
Growth 3yr Historic,1.0306224899598393
Price/Earnings (TTM),10.01174
Price/Sales (TTM),3.36732
Price/Book (MRQ),1.16812
Price/Cash Flow (TTM),8.9583
5yr Low,5.66
5yr High,16.5
5yr Avg Return,0.01595
Short Int Current Month,1037117.0
Short Int Prev Month,1103510.0
Short Int Pct of Float,0.0250475
Days to Cover,13.37456
Float,41.53814
Shares Outstanding,48.61778
Institutions Holding Shares,170.0
FCF Growth 5yr,0.5018238975876631
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",10.01
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4425
Net Profit Margin (TTM),0.3511
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.12240000000000001
EPS Growth (TTM),0.2746
Revenue Growth (MRQ),0.24050000000000002
Revenue Growth (TTM),0.113
Return On Equity (TTM),0.1143
Return On Assets (TTM),0.0125
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-10-21 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
theStreet since,2022-08-16 00:00:00
newConstructs since,
marketEdge opinion since,
