,CFFN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.2,10.14,Valuation,1.3017751479289938
Price/Sales (TTM),5.24,3.47,Valuation,1.5100864553314122
Price/Book (MRQ),1.04,9.31,Valuation,0.1117078410311493
"PEG Ratio (TTM, GAAP)",,4.08,Valuation,
Gross Profit Margin (TTM),,0.1227,Profitability,
Operating Profit Margin (TTM),0.4976,0.4806,Profitability,1.0353724511027882
Net Profit Margin (TTM),0.392,0.36590000000000006,Profitability,1.0713309647444655
Annual Dividend Yield,0.0414,0.028300000000000002,Dividend,1.4628975265017667
Dividend Change %,0.0,0.0643,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.11699999999999999,Dividend,0.0
EPS Growth (MRQ),-0.0788,-0.049,Gowth rates,1.6081632653061222
EPS Growth (TTM),0.1085,0.024900000000000002,Gowth rates,4.357429718875502
Revenue Growth (MRQ),0.2021,-0.0564,Gowth rates,-3.5833333333333335
Revenue Growth (TTM),0.0827,-0.10250000000000001,Gowth rates,-0.8068292682926829
Return On Equity (TTM),0.0726,0.1595,Effectiveness,0.4551724137931034
Return On Assets (TTM),0.0088,0.0533,Effectiveness,0.16510318949343342
Return On Investment (TTM),,0.07740000000000001,Effectiveness,
Revenue Per Employee (TTM),,656704.0,Effectiveness,
Total Debt/Total Capital (MRQ),,0.2934,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,,-0.0009,Financial strength,
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,6.57,Financial strength,
