,CFR
% Below High,0.0788
% Held by Institutions,0.8564
52-Wk Range,['112.67 - 160.60']
Annual Dividend $,3.48
Annual Dividend %,0.0235
Ask,148.54
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.1
Bid,140.5
Bid Size,100.0
Closing Price,147.95
Day Change $,1.89
Day Change %,0.0129
Day High,147.95
Day Low,146.23
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",7.42
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.302
Last (size),768.0
Last (time),5:00p ET 11/25/22
Market Cap,9.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.94
Prev Close,146.06
Shares Outstanding,64.3M
Short Interest,0.023
Today's Open,146.57
Volume,145685.0
Volume 10-day Avg,342127.0
Volume Past Day,(Light)
