,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,28.5,34.1,29.45,28.29,49.99,34.64,,,,,
low,22.8,17.03,17.31,7.28,25.0,18.64,,,,,
change,0.2143,-0.36869999999999997,0.47950000000000004,0.0181,0.1332,0.0348,,,,,
Date,,,,,,,2021-12-26 00:00:00,2022-03-27 00:00:00,2022-06-26 00:00:00,2022-09-25 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,106621.0,89713.0,96258.0,84126.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,1811.0,1830.0,1823.0,1647.0,Balance Sheet
Other Receivables,,,,,,,1083.0,1975.0,1980.0,0.0,Balance Sheet
"Total Receivables, Net",,,,,,,2894.0,3805.0,3803.0,1647.0,Balance Sheet
Total Inventory,,,,,,,1676.0,1614.0,1759.0,1622.0,Balance Sheet
Prepaid Expenses,,,,,,,3273.0,3557.0,5187.0,5058.0,Balance Sheet
Total Current Assets,,,,,,,114464.0,98689.0,107007.0,92453.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,327813.0,327791.0,328693.0,333184.0,Balance Sheet
"Goodwill, Net",,,,,,,24069.0,24069.0,24069.0,24069.0,Balance Sheet
Intangibles - Net,,,,,,,21900.0,21900.0,21900.0,21900.0,Balance Sheet
Other Long Term Assets,,,,,,,1678.0,2362.0,2416.0,2891.0,Balance Sheet
Total Assets,,,,,,,495324.0,479849.0,488616.0,479400.0,Balance Sheet
Accounts Payable,,,,,,,4127.0,5327.0,5735.0,6634.0,Balance Sheet
Accrued Expenses,,,,,,,35326.0,31600.0,35107.0,34052.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,,,2919.0,2449.0,2390.0,2303.0,Balance Sheet
Income Taxes Payable,,,,,,,,,,53.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,2919.0,2449.0,2390.0,2356.0,Balance Sheet
