,CIEN
% Above Low,0.15080000000000002
% Held by Institutions,0.9834
52-Wk Range,['38.33 - 78.28']
Annual Dividend $,
Annual Dividend %,
Ask,53.5
Ask Size,2400.0
B/A Ratio,0.20833333333333334
B/A Size,500x2400
Beta,1.0
Bid,37.0
Bid Size,500.0
Closing Price,44.11
Day Change $,0.06
Day Change %,0.0014000000000000002
Day High,44.42
Day Low,43.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.28
Ex-dividend Date,No dividend
Historical Volatility,0.418
Last (size),300.0
Last (time),5:00p ET 11/25/22
Market Cap,6.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",34.51
Prev Close,44.05
Short Interest,0.0288
Today's Open,44.01
Volume,590815.0
Volume 10-day Avg,1627583.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-08 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.5365853658536586
Growth 1yr High Est,-0.4916387959866221
Growth 1yr Consensus Est,-0.5141120809201403
Growth 2yr Low Est,-0.08032275811479916
Growth 2yr High Est,0.25747007569089936
Growth 2yr Consensus Est,0.0885736587880501
Growth 5yr Low Est,0.05058435319776661
Growth 5yr High Est,0.21975288963062817
Growth 5yr Consensus Est,0.1351686214141974
Growth 5yr Actual/Est,0.1784610528151932
Growth 3yr Historic,0.09613623584223635
Price/Earnings (TTM),34.51271
Price/Sales (TTM),1.76459
Price/Book (MRQ),2.45197
Price/Cash Flow (TTM),19.41543
5yr Low,19.99
5yr High,78.28
5yr Avg Return,0.18528333333333336
EPS Growth 5yr,0.4410669
Revenue Growth 5yr,0.0684257
Dividend Growth 5yr,
Short Int Current Month,4234333.0
Short Int Prev Month,4987366.0
Short Int Pct of Float,0.028827600000000002
Days to Cover,2.26948
Float,146.886
Shares Outstanding,148.1418
Institutions Holding Shares,567.0
FCF Growth 5yr,-11.563077200577203
"Price/Earnings (TTM, GAAP)",34.51
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.43310000000000004
Operating Profit Margin (TTM),0.0764
Net Profit Margin (TTM),0.053700000000000005
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7248
EPS Growth (TTM),-0.5662
Revenue Growth (MRQ),-0.08560000000000001
Revenue Growth (TTM),0.0867
Return On Equity (TTM),0.07110000000000001
Return On Assets (TTM),0.041600000000000005
Return On Investment (TTM),0.0509
Revenue Per Employee (TTM),511412.0
Total Debt/Total Capital (MRQ),0.28690000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0036
Quick Ratio (MRQ),2.58
Interest Coverage (MRQ),2.99
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2015-04-22 00:00:00
ford since,2021-11-05 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-09-02 00:00:00
