,CIR
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.09022556390977443
Growth 1yr High Est,-0.058064516129032295
Growth 1yr Consensus Est,0.016080523890371068
Growth 2yr Low Est,-0.037645838734767956
Growth 2yr High Est,0.15589924878479888
Growth 2yr Consensus Est,0.059126705025015464
Growth 5yr Low Est,-0.025097225823178637
Growth 5yr High Est,0.10393283252319925
Growth 5yr Consensus Est,0.03941780335001031
Growth 5yr Actual/Est,-0.057375645485661375
Growth 3yr Historic,-0.1869761917471841
