,CL
% Below High,0.1033
% Held by Institutions,0.7872
52-Wk Range,['67.84 - 85.61']
Annual Dividend $,1.88
Annual Dividend %,0.0245
Ask,79.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,76.77
Bid Size,100.0
Closing Price,76.77
Day Change $,-0.16
Day Change %,-0.0021
Day High,77.23
Day Low,76.66
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",2.29
Ex-dividend,2022-10-20 00:00:00
Ex-dividend Date,10/20/22
Historical Volatility,0.207
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,64.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",33.48
Prev Close,76.93
Shares Outstanding,835.2M
Short Interest,0.0104
Today's Open,77.13
Volume,1388825.0
Volume 10-day Avg,3543041.0
Volume Past Day,(Light)
