,CLBK
Price/Earnings (TTM),26.28323
Price/Sales (TTM),8.29041
Price/Book (MRQ),2.33555
Price/Cash Flow (TTM),24.87277
5yr Low,10.27
5yr High,22.86
5yr Avg Return,0.08109999999999999
Short Int Current Month,1093692.0
Short Int Prev Month,1182672.0
Short Int Pct of Float,0.034455
Days to Cover,7.13121
Float,31.67051
Shares Outstanding,109.5755
Institutions Holding Shares,152.0
% Held by Institutions,0.139682
FCF Growth 5yr,0.3629527297681748
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
