,CLSK
% Above Low,0.1045
% Held by Institutions,0.3565
52-Wk Range,['2.01 - 18.48']
Annual Dividend $,
Annual Dividend %,
Ask,2.25
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,3.3
Bid,2.17
Bid Size,100.0
Closing Price,2.22
Day Change $,0.02
Day Change %,0.0091
Day High,2.24
Day Low,2.18
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.2
Ex-dividend Date,No dividend
Historical Volatility,1.013
Last (size),3.0
Last (time),12:59p ET 11/25/22
Market Cap,143.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.2
Shares Outstanding,64.8M
Short Interest,0.1624
Today's Open,2.22
Volume,817186.0
Volume 10-day Avg,2823194.0
Volume Past Day,(Light)
