,CMC
Price/Earnings (TTM),4.82013
Price/Sales (TTM),0.63159
Price/Book (MRQ),1.71514
Price/Cash Flow (TTM),4.04346
5yr Low,10.76
5yr High,49.41
5yr Avg Return,0.20318333333333333
EPS Growth 5yr,0.8765101
Revenue Growth 5yr,0.1831811
Dividend Growth 5yr,0.0313103
Short Int Current Month,3119021.0
Short Int Prev Month,3247950.0
Short Int Pct of Float,0.0269783
Days to Cover,3.18922
Float,115.8706
Shares Outstanding,117.3576
Institutions Holding Shares,450.0
% Held by Institutions,0.8552960000000001
FCF Growth 5yr,-1.4315056923752578
