,CMCO
% Above Low,0.32799999999999996
% Held by Institutions,0.9937
52-Wk Range,['23.54 - 50.18']
Annual Dividend $,0.28
Annual Dividend %,0.009000000000000001
Ask,49.06
Ask Size,100.0
B/A Ratio,9.0
B/A Size,900x100
Beta,1.3
Bid,12.94
Bid Size,900.0
Closing Price,31.26
Day Change $,-0.14
Day Change %,-0.0045000000000000005
Day High,31.83
Day Low,31.18
Dividend Pay Date,2022-11-14 00:00:00
"EPS (TTM, GAAP)",1.54
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.41000000000000003
Last (size),13.0
Last (time),12:59p ET 11/25/22
Market Cap,895.8M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.35
Prev Close,31.4
Shares Outstanding,28.6M
Short Interest,0.014199999999999999
Today's Open,31.2
Volume,51853.0
Volume 10-day Avg,140595.0
Volume Past Day,(Light)
