,CMI
Price/Earnings (TTM),18.66605
Price/Sales (TTM),1.35005
Price/Book (MRQ),4.21351
Price/Cash Flow (TTM),13.3343
5yr Low,101.03
5yr High,277.09
5yr Avg Return,0.09468333333333334
EPS Growth 5yr,0.1215103
Revenue Growth 5yr,0.0652853
Dividend Growth 5yr,0.0696104
Short Int Current Month,3291828.0
Short Int Prev Month,3561903.0
Short Int Pct of Float,0.023465899999999998
Days to Cover,2.48443
Float,140.417
Shares Outstanding,141.0
Institutions Holding Shares,1605.0
% Held by Institutions,0.818321
FCF Growth 5yr,2.7734619530872457
