,CMS
% Above Low,0.16890000000000002
% Held by Institutions,0.9023
52-Wk Range,['52.41 - 73.76']
Annual Dividend $,1.84
Annual Dividend %,0.03
Ask,75.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.3
Bid,55.5
Bid Size,100.0
Closing Price,61.26
Day Change $,0.43
Day Change %,0.0070999999999999995
Day High,61.43
Day Low,61.03
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",2.49
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.23399999999999999
Last (size),47.0
Last (time),5:00p ET 11/25/22
Market Cap,17.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.6
Prev Close,60.83
Short Interest,0.017
Today's Open,61.11
Volume,658943.0
Volume 10-day Avg,2115461.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.08365019011406849
Growth 1yr High Est,0.10150375939849621
Growth 1yr Consensus Est,0.09257697475628235
Growth 2yr Low Est,0.07691281435527986
Growth 2yr High Est,0.09000102645692731
Growth 2yr Consensus Est,0.08345692040610359
Growth 5yr Low Est,0.0537067114990033
Growth 5yr High Est,0.06121240913924436
Growth 5yr Consensus Est,0.05745956031912383
Growth 5yr Actual/Est,0.057872281283070814
Growth 3yr Historic,0.016199629980596486
Price/Earnings (TTM),24.60379
Price/Sales (TTM),2.12918
Price/Book (MRQ),2.65866
Price/Cash Flow (TTM),9.8074
5yr Low,40.48
5yr High,73.76
5yr Avg Return,0.042233333333333324
EPS Growth 5yr,0.040043800000000004
Revenue Growth 5yr,0.0275111
Dividend Growth 5yr,0.07010279999999999
Short Int Current Month,4886163.0
Short Int Prev Month,4777437.0
Short Int Pct of Float,0.0169508
Days to Cover,2.3908
Float,288.3466
Shares Outstanding,290.2516
Institutions Holding Shares,884.0
FCF Growth 5yr,11.016109269903636
"Price/Earnings (TTM, GAAP)",24.6
"PEG Ratio (TTM, GAAP)",2.93
Gross Profit Margin (TTM),0.2833
Operating Profit Margin (TTM),0.1385
Net Profit Margin (TTM),0.085
Annual Dividend Yield,0.03
Dividend Change %,0.0675
"Dividend Growth Rate, 3 Years",0.0676
EPS Growth (MRQ),0.1241
EPS Growth (TTM),-0.012
Revenue Growth (MRQ),0.0542
Revenue Growth (TTM),0.18910000000000002
Return On Equity (TTM),0.115
Return On Assets (TTM),0.0233
Return On Investment (TTM),0.0263
Revenue Per Employee (TTM),982008.0
Total Debt/Total Capital (MRQ),0.647
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),0.69
Interest Coverage (MRQ),2.02
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-28 00:00:00
cfra since,2022-10-28 00:00:00
ford since,2022-10-14 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-10-19 00:00:00
