,CMTL
Next Earnings Announcement,2022-12-08 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.8360128617363344
Growth 1yr High Est,-1.152249134948097
Growth 1yr Consensus Est,-0.9941309983422157
Growth 2yr Low Est,-0.5258495681230692
Growth 2yr High Est,-0.17839729474677568
Growth 2yr Consensus Est,-0.3521234314349224
Growth 5yr Low Est,-0.35056637874871277
Growth 5yr High Est,-0.11893152983118378
Growth 5yr Consensus Est,-0.23474895428994827
Growth 5yr Actual/Est,-3.5179140644631444
Growth 3yr Historic,-2.911088911088911
