,CNK
% Above Low,0.527
% Held by Institutions,1.0238
52-Wk Range,['9.07 - 19.76']
Annual Dividend $,
Annual Dividend %,
Ask,15.5
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,2.1
Bid,13.6
Bid Size,1000.0
Closing Price,13.85
Day Change $,0.03
Day Change %,0.0022
Day High,14.1
Day Low,13.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.39
Ex-dividend Date,No dividend
Historical Volatility,0.539
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,1.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,13.82
Short Interest,0.228
Today's Open,13.82
Volume,1488601.0
Volume 10-day Avg,2665979.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.5762273901808785
Growth 1yr High Est,-0.6685236768802229
Growth 1yr Consensus Est,-0.6223755335305508
Growth 2yr Low Est,-0.7210405243587319
Growth 2yr High Est,-1.2460265443224645
Growth 2yr Consensus Est,-0.9835335343405982
Growth 5yr Low Est,-0.7210405243587319
Growth 5yr High Est,-1.2460265443224645
Growth 5yr Consensus Est,-0.9835335343405982
Growth 5yr Actual/Est,-1.6072064798145074
Growth 3yr Historic,-1.1361671048787614
Price/Earnings (TTM),
Price/Sales (TTM),0.66143
Price/Book (MRQ),8.5624
Price/Cash Flow (TTM),20.50083
5yr Low,5.71
5yr High,44.0
5yr Avg Return,-0.12476666666666666
EPS Growth 5yr,
Revenue Growth 5yr,-0.1234388
Dividend Growth 5yr,
Short Int Current Month,24686377.0
Short Int Prev Month,23634912.0
Short Int Pct of Float,0.22801649999999998
Days to Cover,7.21949
Float,108.2991
Shares Outstanding,120.425
Institutions Holding Shares,284.0
FCF Growth 5yr,-3.9406112914020723
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6424
Operating Profit Margin (TTM),0.0048
Net Profit Margin (TTM),-0.0645
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.6658
EPS Growth (TTM),0.807
Revenue Growth (MRQ),-0.1259
Revenue Growth (TTM),1.6766999999999999
Return On Equity (TTM),-0.6601
Return On Assets (TTM),-0.032799999999999996
Return On Investment (TTM),-0.037700000000000004
Revenue Per Employee (TTM),337116.0
Total Debt/Total Capital (MRQ),0.9268000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),1.24
Interest Coverage (MRQ),0.9
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2020-06-05 00:00:00
ford since,2022-11-18 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-06-05 00:00:00
