,CNP
% Below High,0.07339999999999999
% Held by Institutions,0.9188
52-Wk Range,['25.03 - 33.50']
Annual Dividend $,0.72
Annual Dividend %,0.0232
Ask,32.0
Ask Size,500.0
B/A Ratio,0.8
B/A Size,400x500
Beta,0.9
Bid,27.07
Bid Size,400.0
Closing Price,31.04
Day Change $,0.23
Day Change %,0.0075
Day High,31.19
Day Low,30.89
Dividend Pay Date,2022-12-08 00:00:00
"EPS (TTM, GAAP)",1.44
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.23600000000000002
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,19.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",21.53
Prev Close,30.81
Short Interest,0.0189
Today's Open,30.89
Volume,1060521.0
Volume 10-day Avg,3356185.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.08029197080291972
Growth 2yr High Est,0.07857142857142874
Growth 2yr Consensus Est,0.07943169968717423
Growth 5yr Low Est,0.08029197080291972
Growth 5yr High Est,0.07857142857142874
Growth 5yr Consensus Est,0.07943169968717423
Growth 5yr Actual/Est,-0.031736275472643516
Growth 3yr Historic,-0.0116121308858739
Price/Earnings (TTM),21.52596
Price/Sales (TTM),2.18969
Price/Book (MRQ),2.12376
Price/Cash Flow (TTM),8.82601
5yr Low,11.58
5yr High,33.5
5yr Avg Return,0.018899999999999997
EPS Growth 5yr,-0.0117051
Revenue Growth 5yr,0.0209916
Dividend Growth 5yr,-0.0879572
Short Int Current Month,11864444.0
Short Int Prev Month,12620537.0
Short Int Pct of Float,0.018873
Days to Cover,2.71758
Float,628.7014
Shares Outstanding,629.5356
Institutions Holding Shares,836.0
FCF Growth 5yr,0.8067348412271519
"Price/Earnings (TTM, GAAP)",21.53
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2074
Net Profit Margin (TTM),0.1077
Annual Dividend Yield,0.0232
Dividend Change %,-0.1216
"Dividend Growth Rate, 3 Years",-0.1634
EPS Growth (MRQ),0.0542
EPS Growth (TTM),0.37329999999999997
Revenue Growth (MRQ),-0.0211
Revenue Growth (TTM),0.1028
Return On Equity (TTM),0.10550000000000001
Return On Assets (TTM),0.026000000000000002
Return On Investment (TTM),0.029700000000000004
Revenue Per Employee (TTM),947547.0
Total Debt/Total Capital (MRQ),0.6093999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),0.69
Interest Coverage (MRQ),3.34
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-03-15 00:00:00
cfra since,2022-08-02 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-05-07 00:00:00
