,CNXN
% Below High,0.0189
% Held by Institutions,0.4278
52-Wk Range,['40.08 - 56.64']
Annual Dividend $,
Annual Dividend %,
Ask,60.0
Ask Size,100.0
B/A Ratio,9.0
B/A Size,900x100
Beta,0.7
Bid,55.63
Bid Size,900.0
Closing Price,55.57
Day Change $,-0.2
Day Change %,-0.0036
Day High,56.49
Day Low,55.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.51
Ex-dividend Date,No dividend
Historical Volatility,0.312
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.82
Prev Close,55.77
Shares Outstanding,26.3M
Short Interest,0.048600000000000004
Today's Open,55.9
Volume,22321.0
Volume 10-day Avg,49823.0
Volume Past Day,(Light)
