,COHU
% Below High,0.1167
% Held by Institutions,0.9223
52-Wk Range,['24.06 - 39.86']
Annual Dividend $,
Annual Dividend %,
Ask,37.32
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,31.08
Bid Size,100.0
Closing Price,35.21
Day Change $,-0.39
Day Change %,-0.011000000000000001
Day High,35.75
Day Low,35.17
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.96
Ex-dividend Date,No dividend
Historical Volatility,0.5479999999999999
Last (size),23.0
Last (time),12:59p ET 11/25/22
Market Cap,1.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.98
Prev Close,35.6
Short Interest,0.0333
Today's Open,35.36
Volume,83854.0
Volume 10-day Avg,257344.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.2697841726618705
Growth 2yr High Est,-0.10726643598615915
Growth 2yr Consensus Est,-0.18852530432401482
Growth 5yr Low Est,-0.2697841726618705
Growth 5yr High Est,-0.10726643598615915
Growth 5yr Consensus Est,-0.18852530432401482
Growth 5yr Actual/Est,3.4055407664993638
Growth 3yr Historic,3.477824463118581
Price/Earnings (TTM),17.97832
Price/Sales (TTM),2.06145
Price/Book (MRQ),1.90163
Price/Cash Flow (TTM),11.79203
5yr Low,8.89
5yr High,51.86
5yr Avg Return,0.10256666666666665
EPS Growth 5yr,0.9624411
Revenue Growth 5yr,0.2575637
Dividend Growth 5yr,
Short Int Current Month,1555440.0
Short Int Prev Month,1367398.0
Short Int Pct of Float,0.0332695
Days to Cover,4.16487
Float,46.71643
Shares Outstanding,47.62997
Institutions Holding Shares,252.0
FCF Growth 5yr,-20.084731118520867
"Price/Earnings (TTM, GAAP)",17.98
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4604
Operating Profit Margin (TTM),0.142
Net Profit Margin (TTM),0.11810000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.12789999999999999
EPS Growth (TTM),-0.41740000000000005
Revenue Growth (MRQ),-0.048499999999999995
Revenue Growth (TTM),-0.09380000000000001
Return On Equity (TTM),0.10960000000000002
Return On Assets (TTM),0.07780000000000001
Return On Investment (TTM),0.0916
Revenue Per Employee (TTM),251090.0
Total Debt/Total Capital (MRQ),0.08230000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0029
Quick Ratio (MRQ),3.42
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-21 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-05-25 00:00:00
