,CRNC
Price/Earnings (TTM),
Price/Sales (TTM),1.74098
Price/Book (MRQ),0.67285
Price/Cash Flow (TTM),
5yr Low,11.39
5yr High,139.0
5yr Avg Return,0.552175
EPS Growth 5yr,0.039998900000000004
Revenue Growth 5yr,0.12893929999999998
Dividend Growth 5yr,
Short Int Current Month,3934804.0
Short Int Prev Month,3923617.0
Short Int Pct of Float,0.10175580000000001
Days to Cover,11.69214
Float,38.65791
Shares Outstanding,39.38332
Institutions Holding Shares,326.0
% Held by Institutions,0.969128
FCF Growth 5yr,-1.273376982133676
