,CRS
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-2.055045871559633
Growth 1yr High Est,-2.2666666666666666
Growth 1yr Consensus Est,-2.16085626911315
Growth 2yr Low Est,-0.5275229357798166
Growth 2yr High Est,-0.5280701754385966
Growth 2yr Consensus Est,-0.5277965556092066
Growth 5yr Low Est,-0.6399188752973157
Growth 5yr High Est,-0.6350028296547822
Growth 5yr Consensus Est,-0.6374608524760489
Growth 5yr Actual/Est,-0.8663460903456761
Growth 3yr Historic,-0.5955347695909592
