,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,46.41,48.82,58.69,54.92,59.48,66.59,,,,,
low,43.4,30.4,31.31,36.33,42.58,52.42,,,,,
change,-0.028999999999999998,-0.2781,0.6533,-0.1318,0.2745,0.0592,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,206.0,181.0,134.0,147.0,Balance Sheet
Short Term Investments,,,,,,,28.0,6.0,1.0,1.0,Balance Sheet
Cash and Short Term Invs,,,,,,,234.0,188.0,135.0,147.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,249.0,243.0,242.0,244.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-4.0,-5.0,-5.0,-5.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,280.0,281.0,283.0,290.0,Balance Sheet
Other Receivables,,,,,,,6.0,9.0,20.0,23.0,Balance Sheet
"Total Receivables, Net",,,,,,,287.0,289.0,303.0,313.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,228.0,210.0,271.0,231.0,Balance Sheet
Total Current Assets,,,,,,,748.0,687.0,708.0,692.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,185.0,185.0,193.0,184.0,Balance Sheet
Accumulated Depreciation,,,,,,,-111.0,-114.0,-117.0,-112.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,160.0,143.0,134.0,125.0,Balance Sheet
"Goodwill, Net",,,,,,,321.0,319.0,301.0,295.0,Balance Sheet
Intangibles - Gross,,,,,,,432.0,439.0,431.0,430.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-299.0,-308.0,-305.0,-305.0,Balance Sheet
Intangibles - Net,,,,,,,134.0,131.0,125.0,124.0,Balance Sheet
Other Long Term Assets,,,,,,,16.0,15.0,13.0,9.0,Balance Sheet
Total Assets,,,,,,,1387.0,1303.0,1291.0,1259.0,Balance Sheet
Accounts Payable,,,,,,,35.0,35.0,34.0,33.0,Balance Sheet
Accrued Expenses,,,,,,,114.0,84.0,74.0,73.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,238.0,253.0,253.0,53.0,Balance Sheet
Customer Advances,,,,,,,97.0,92.0,85.0,84.0,Balance Sheet
Income Taxes Payable,,,,,,,0.0,1.0,1.0,11.0,Balance Sheet
Other Current Liabilities,,,,,,,210.0,182.0,237.0,193.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,308.0,275.0,323.0,287.0,Balance Sheet
Total Current Liabilities,,,,,,,695.0,647.0,683.0,445.0,Balance Sheet
Total Long Term Debt,,,,,,,137.0,136.0,134.0,377.0,Balance Sheet
Total Debt,,,,,,,375.0,388.0,386.0,430.0,Balance Sheet
Deferred Income Tax,,,,,,,8.0,8.0,0.0,0.0,Balance Sheet
Minority Interest,,,,,,,4.0,4.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,,,107.0,99.0,96.0,92.0,Balance Sheet
Total Liabilities,,,,,,,951.0,893.0,914.0,915.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,,,,,488.0,472.0,479.0,488.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,916.0,923.0,920.0,924.0,Balance Sheet
Treasury Stock - Common,,,,,,,-930.0,-946.0,-968.0,-996.0,Balance Sheet
Unrealized Gain (Loss),,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Equity, Total",,,,,,,-38.0,-40.0,-56.0,-73.0,Balance Sheet
Total Equity,,,,,,,437.0,411.0,377.0,344.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,1387.0,1303.0,1291.0,1259.0,Balance Sheet
