,CSGS
% Below High,0.083
% Held by Institutions,0.963
52-Wk Range,['51.28 - 66.59']
Annual Dividend $,1.06
Annual Dividend %,0.0174
Ask,61.42
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.9
Bid,60.7
Bid Size,300.0
Closing Price,61.06
Day Change $,-0.25
Day Change %,-0.0040999999999999995
Day High,61.68
Day Low,60.89
Dividend Pay Date,2022-09-29 00:00:00
"EPS (TTM, GAAP)",1.3
Ex-dividend,2022-09-15 00:00:00
Ex-dividend Date,09/15/22
Historical Volatility,0.292
Last (size),15.0
Last (time),12:59p ET 11/25/22
Market Cap,1.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",46.91
Prev Close,61.31
Shares Outstanding,31.5M
Short Interest,0.0176
Today's Open,60.94
Volume,63940.0
Volume 10-day Avg,144477.0
Volume Past Day,(Light)
