,CTKB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,83.95,Valuation,
Price/Sales (TTM),12.47,6.06,Valuation,2.057755775577558
Price/Book (MRQ),4.63,6.22,Valuation,0.7443729903536977
"PEG Ratio (TTM, GAAP)",,3.53,Valuation,
Gross Profit Margin (TTM),0.616,0.5095000000000001,Profitability,1.2090284592737977
Operating Profit Margin (TTM),-0.0037,0.0332,Profitability,-0.11144578313253012
Net Profit Margin (TTM),-0.015500000000000002,-0.0454,Profitability,0.34140969162995594
Annual Dividend Yield,,0.0022,Dividend,
Dividend Change %,,0.0891,Dividend,
"Dividend Growth Rate, 3 Years",,0.0714,Dividend,
EPS Growth (MRQ),3.6989,-0.5094,Gowth rates,-7.2612877895563415
EPS Growth (TTM),,-0.2377,Gowth rates,
Revenue Growth (MRQ),0.0079,0.1691,Gowth rates,0.046717918391484335
Revenue Growth (TTM),,0.1222,Gowth rates,
Return On Equity (TTM),-0.0023,1.1042,Effectiveness,-0.0020829559862343776
Return On Assets (TTM),-0.005,0.0644,Effectiveness,-0.07763975155279504
Return On Investment (TTM),-0.0054,0.0802,Effectiveness,-0.06733167082294265
Revenue Per Employee (TTM),311681.0,335561.0,Effectiveness,0.9288355917403989
Total Debt/Total Capital (MRQ),0.0,0.3893,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0252,Financial strength,
Quick Ratio (MRQ),9.51,1.51,Financial strength,6.298013245033112
Interest Coverage (MRQ),,33.07,Financial strength,
