,CTRN
Price/Earnings (TTM),4.35632
Price/Sales (TTM),0.23131
Price/Book (MRQ),1.49263
Price/Cash Flow (TTM),2.93543
5yr Low,6.7
5yr High,111.44
5yr Avg Return,0.2064166666666667
EPS Growth 5yr,0.5000517
Revenue Growth 5yr,0.0736137
Dividend Growth 5yr,
Short Int Current Month,883210.0
Short Int Prev Month,935435.0
Short Int Pct of Float,0.1106949
Days to Cover,6.31523
Float,7.98708
Shares Outstanding,8.37941
Institutions Holding Shares,123.0
% Held by Institutions,0.90358
FCF Growth 5yr,-0.06230964255458793
