,CTS
Price/Earnings (TTM),25.17152
Price/Sales (TTM),2.32062
Price/Book (MRQ),2.72811
Price/Cash Flow (TTM),16.28772
5yr Low,17.92
5yr High,45.22
5yr Avg Return,0.07441666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.052744400000000004
Dividend Growth 5yr,0.0
Short Int Current Month,597423.0
Short Int Prev Month,529814.0
Short Int Pct of Float,0.019142
Days to Cover,3.8066
Float,31.21322
Shares Outstanding,31.87989
Institutions Holding Shares,270.0
% Held by Institutions,0.965287
FCF Growth 5yr,0.6866128320077441
