,CVI
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.7353846153846153
Growth 1yr High Est,0.9275
Growth 1yr Consensus Est,0.8314423076923076
Growth 2yr Low Est,0.06716039279869068
Growth 2yr High Est,0.3094049935149157
Growth 2yr Consensus Est,0.18828269315680318
Growth 5yr Low Est,0.03358019639934534
Growth 5yr High Est,0.15470249675745784
Growth 5yr Consensus Est,0.09414134657840159
Growth 5yr Actual/Est,-2.6340666554485974
Growth 3yr Historic,-0.5548923807478464
