,CVT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),4.38,9.39,Valuation,0.4664536741214057
Price/Book (MRQ),1.66,12.63,Valuation,0.1314330958036421
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.6099,0.7206,Profitability,0.8463780183180682
Operating Profit Margin (TTM),-0.13720000000000002,0.2172,Profitability,-0.6316758747697975
Net Profit Margin (TTM),-0.1699,0.1553,Profitability,-1.094011590470058
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.42350000000000004,-0.0752,Gowth rates,-5.631648936170214
EPS Growth (TTM),-0.5309,-0.2824,Gowth rates,1.8799575070821533
Revenue Growth (MRQ),0.0022,0.15560000000000002,Gowth rates,0.014138817480719794
Revenue Growth (TTM),0.2341,0.1906,Gowth rates,1.2282266526757608
Return On Equity (TTM),-0.0757,0.2189,Effectiveness,-0.34582000913659205
Return On Assets (TTM),-0.0458,0.10740000000000001,Effectiveness,-0.4264432029795158
Return On Investment (TTM),-0.055,0.1387,Effectiveness,-0.3965392934390772
Revenue Per Employee (TTM),140533.0,667721.0,Effectiveness,0.210466646997773
Total Debt/Total Capital (MRQ),0.09390000000000001,0.39659999999999995,Financial strength,0.23676248108925876
Change in Debt/Total Capital Quarter over Quarter,-0.0077,0.0004,Financial strength,-19.25
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-7.77,0.28,Financial strength,-27.749999999999996
