,CW
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.112947658402204
Growth 1yr High Est,0.1036339165545086
Growth 1yr Consensus Est,0.1082907874783563
Growth 2yr Low Est,0.06637481930011191
Growth 2yr High Est,0.10059744608213239
Growth 2yr Consensus Est,0.08348613269112215
Growth 5yr Low Est,0.04127241158239284
Growth 5yr High Est,0.0575737318248839
Growth 5yr Consensus Est,0.04942307170363837
Growth 5yr Actual/Est,0.0493114989223809
Growth 3yr Historic,0.0033481897050549603
