,CWST
% Below High,0.0817
% Held by Institutions,1.0102
52-Wk Range,['63.90 - 92.75']
Annual Dividend $,
Annual Dividend %,
Ask,85.62
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,84.72
Bid Size,100.0
Closing Price,85.17
Day Change $,0.1
Day Change %,0.0012
Day High,86.32
Day Low,85.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.04
Ex-dividend Date,No dividend
Historical Volatility,0.29100000000000004
Last (size),24.0
Last (time),1:00p ET 11/25/22
Market Cap,4.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",81.91
Prev Close,85.07
Short Interest,0.0222
Today's Open,85.56
Volume,59130.0
Volume 10-day Avg,165674.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.22352941176470598
Growth 1yr High Est,0.2934782608695652
Growth 1yr Consensus Est,0.2585038363171356
Growth 2yr Low Est,0.21272624434389142
Growth 2yr High Est,0.222369382535623
Growth 2yr Consensus Est,0.2175478134397572
Growth 5yr Low Est,0.11660389765662363
Growth 5yr High Est,0.12254832763144785
Growth 5yr Consensus Est,0.11957611264403574
Growth 5yr Actual/Est,0.11670149276613659
Growth 3yr Historic,0.015201984408221153
Price/Earnings (TTM),81.90604
Price/Sales (TTM),4.17294
Price/Book (MRQ),9.04636
Price/Cash Flow (TTM),25.01069
5yr Low,19.39
5yr High,92.75
5yr Avg Return,0.2971
EPS Growth 5yr,
Revenue Growth 5yr,0.09493080000000001
Dividend Growth 5yr,
Short Int Current Month,1113409.0
Short Int Prev Month,1260478.0
Short Int Pct of Float,0.0222472
Days to Cover,5.45521
Float,50.05193
Shares Outstanding,51.68025
Institutions Holding Shares,367.0
FCF Growth 5yr,0.6993342178251364
"Price/Earnings (TTM, GAAP)",81.91
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.33490000000000003
Operating Profit Margin (TTM),0.08960000000000001
Net Profit Margin (TTM),0.051
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.27340000000000003
EPS Growth (TTM),-0.44090000000000007
Revenue Growth (MRQ),0.0409
Revenue Growth (TTM),0.2444
Return On Equity (TTM),0.12029999999999999
Return On Assets (TTM),0.0402
Return On Investment (TTM),0.046
Revenue Per Employee (TTM),363723.0
Total Debt/Total Capital (MRQ),0.5467000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),1.09
Interest Coverage (MRQ),6.35
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-06 00:00:00
cfra since,2021-03-25 00:00:00
ford since,2022-06-03 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-08-01 00:00:00
