,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,9.15,16.88,25.02,63.36,86.3,59.71,,,,,
low,6.68,6.66,8.28,13.01,45.95,15.79,,,,,
change,0.2202,0.2796,0.5115,1.6307,0.268,-0.6836,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash,,,,,,,28.0,33.0,29.0,29.0,Balance Sheet
Short Term Investments,,,,,,,601.0,567.0,522.0,501.0,Balance Sheet
Cash and Short Term Invs,,,,,,,629.0,600.0,551.0,530.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,41.0,37.0,45.0,46.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-1.0,-1.0,-1.0,-1.0,Balance Sheet
"Total Receivables, Net",,,,,,,39.0,36.0,44.0,44.0,Balance Sheet
Invent. - Finished Goods,,,,,,,4.0,6.0,6.0,6.0,Balance Sheet
Invent. - Work In Progress,,,,,,,1.0,0.0,0.0,1.0,Balance Sheet
Invent. - Raw Materials,,,,,,,12.0,16.0,16.0,17.0,Balance Sheet
Total Inventory,,,,,,,17.0,22.0,23.0,25.0,Balance Sheet
Prepaid Expenses,,,,,,,9.0,8.0,8.0,11.0,Balance Sheet
Total Current Assets,,,,,,,694.0,666.0,626.0,609.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,70.0,69.0,77.0,83.0,Balance Sheet
"Goodwill, Net",,,,,,,147.0,147.0,145.0,147.0,Balance Sheet
Intangibles - Gross,,,,,,,222.0,223.0,226.0,228.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-21.0,-25.0,-30.0,-36.0,Balance Sheet
Intangibles - Net,,,,,,,201.0,198.0,196.0,192.0,Balance Sheet
Other Long Term Assets,,,,,,,1.0,3.0,3.0,3.0,Balance Sheet
Total Assets,,,,,,,1113.0,1081.0,1046.0,1034.0,Balance Sheet
Payable/Accrued,,,,,,,29.0,28.0,31.0,27.0,Balance Sheet
Accrued Expenses,,,,,,,13.0,16.0,11.0,12.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,,,1.0,1.0,Balance Sheet
Customer Advances,,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Other Current Liabilities,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Total Current Liabilities,,,,,,,43.0,44.0,44.0,41.0,Balance Sheet
Long Term Debt,,,,,,,405.0,406.0,406.0,406.0,Balance Sheet
Capital Lease Obligations,,,,,,,0.0,,,0.0,Balance Sheet
Total Long Term Debt,,,,,,,405.0,406.0,406.0,407.0,Balance Sheet
Total Debt,,,,,,,405.0,406.0,407.0,408.0,Balance Sheet
Deferred Income Tax,,,,,,,4.0,5.0,4.0,3.0,Balance Sheet
"Other Liabilities, Total",,,,,,,19.0,17.0,24.0,28.0,Balance Sheet
Total Liabilities,,,,,,,471.0,472.0,478.0,478.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,10.0,12.0,14.0,16.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,,1100.0,1103.0,1082.0,1086.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,-468.0,-489.0,-498.0,-504.0,Balance Sheet
"Other Equity, Total",,,,,,,-1.0,-16.0,-29.0,-43.0,Balance Sheet
Total Equity,,,,,,,642.0,609.0,568.0,556.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,1113.0,1081.0,1046.0,1034.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,50.0,49.0,48.0,49.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Shrs Out-Pref Primary Iss.,,,,,,,0.0,,,0.0,Balance Sheet
Shrs Out-Pref Stk Iss. 2,,,,,,,0.0,,,0.0,Balance Sheet
Shrs Out-Pref Stk Iss. 3,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsry Shrs-Pref. Iss. 1,,,,,,,0.0,,,0.0,Balance Sheet
Trsry Shrs-Pref. Iss. 2,,,,,,,0.0,,,0.0,Balance Sheet
Trsry Shrs-Pref. Iss. 3,,,,,,,,,,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,56440.0,52302.0,64153.0,60464.0,Income Statement
"Cost of Revenue, Total",,,,,,,33327.0,29961.0,35315.0,34047.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,24211.0,23331.0,26507.0,26041.0,Income Statement
Labor & Related Expense,,,,,,,3375.0,3291.0,4056.0,4194.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,27586.0,26622.0,30563.0,30235.0,Income Statement
Research & Development,,,,,,,3890.0,3538.0,3522.0,3985.0,Income Statement
Unusual Expense (Income),,,,,,,251754.0,,,,Income Statement
Total Operating Expense,,,,,,,316557.0,60121.0,69400.0,68267.0,Income Statement
Total Operating Income,,,,,,,-260117.0,-7819.0,-5247.0,-7803.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,,,1635.0,1264.0,2048.0,2485.0,Income Statement
"Other, Net",,,,,,,-1354.0,-5017.0,-4028.0,1668.0,Income Statement
Income Before Tax,,,,,,,-260962.0,-13063.0,-8813.0,-5259.0,Income Statement
Income Tax - Total,,,,,,,-876.0,341.0,364.0,57.0,Income Statement
Income After Tax,,,,,,,-260086.0,-13404.0,-9177.0,-5316.0,Income Statement
Net Inc Before Extra Items,,,,,,,-260086.0,-13404.0,-9177.0,-5316.0,Income Statement
Total Net Income,,,,,,,-260086.0,-13404.0,-9177.0,-5316.0,Income Statement
Total Adjust to Net Income,,,,,,,-2000.0,-2000.0,-2000.0,-2000.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,-262086.0,-15404.0,-11177.0,-7316.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,-262086.0,-15404.0,-11177.0,-7316.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,48049.0,49661.0,48793.0,48521.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,-5.45,-0.31,-0.23,-0.15,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,-5.45,-0.31,-0.23,-0.15,Income Statement
Diluted Weighted Average Shares,,,,,,,48049.0,49661.0,48793.0,48521.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,-5.45,-0.31,-0.23,-0.15,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,-5.45,-0.31,-0.23,-0.15,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,,0.0,,,,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,,1126.0,1491.0,1586.0,1609.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,,1703.0,1565.0,1780.0,2386.0,Income Statement
Total Special Items,,,,,,,251754.0,257.0,566.0,721.0,Income Statement
Normalzd Income Before Tax,,,,,,,-9208.0,-12806.0,-8247.0,-4538.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,88114.0,90.0,198.0,252.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,,87238.0,431.0,562.0,309.0,Income Statement
Normalized Income After Tax,,,,,,,-96446.0,-13237.0,-8809.0,-4847.0,Income Statement
Normalzd Inc Avail to Common,,,,,,,-98446.0,-15237.0,-10809.0,-6847.0,Income Statement
Basic Normalized EPS,,,,,,,-2.05,-0.31,-0.22,-0.14,Income Statement
Diluted Normalized EPS,,,,,,,-2.05,-0.31,-0.22,-0.14,Income Statement
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,,-276.0,-13.0,-23.0,-28.0,Cash Flow
Depreciation/Depletion,,,,,,,20.0,5.0,11.0,17.0,Cash Flow
Deferred Taxes,,,,,,,0.0,0.0,0.0,-1.0,Cash Flow
Unusual Items,,,,,,,254.0,5.0,9.0,13.0,Cash Flow
Other Non-Cash Items,,,,,,,17.0,8.0,18.0,19.0,Cash Flow
Non-Cash Items,,,,,,,270.0,13.0,27.0,32.0,Cash Flow
Accounts Receivable,,,,,,,-7.0,3.0,-4.0,-8.0,Cash Flow
Inventories,,,,,,,-6.0,-8.0,-9.0,-11.0,Cash Flow
Prepaid Expenses,,,,,,,3.0,0.0,-1.0,-1.0,Cash Flow
Other Assets,,,,,,,0.0,0.0,0.0,0.0,Cash Flow
Accrued Expenses,,,,,,,3.0,2.0,-2.0,-1.0,Cash Flow
Payable/Accrued,,,,,,,0.0,-2.0,-4.0,-3.0,Cash Flow
Changes in Working Capital,,,,,,,-7.0,-4.0,-21.0,-25.0,Cash Flow
Total Cash from Operations,,,,,,,8.0,1.0,-6.0,-6.0,Cash Flow
Purchase of Fixed Assets,,,,,,,-24.0,-4.0,-9.0,-14.0,Cash Flow
Purchase/Acq of Intangibles,,,,,,,0.0,0.0,0.0,-1.0,Cash Flow
Software Development Costs,,,,,,,-1.0,0.0,-1.0,-1.0,Cash Flow
Capital Expenditures,,,,,,,-25.0,-5.0,-10.0,-16.0,Cash Flow
Acquisition of Business,,,,,,,-6.0,,-2.0,-7.0,Cash Flow
Sale/Maturity of Investment,,,,,,,44.0,36.0,85.0,108.0,Cash Flow
Purchase of Investments,,,,,,,-483.0,-30.0,-137.0,-155.0,Cash Flow
Other Investing Cash Flow,,,,,,,,2.0,3.0,3.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,,-444.0,8.0,-51.0,-51.0,Cash Flow
Total Cash from Investing,,,,,,,-469.0,3.0,-61.0,-67.0,Cash Flow
Financing Cash Flow Items,,,,,,,0.0,,,,Cash Flow
"Common Stock, Net",,,,,,,270.0,-8.0,-33.0,-33.0,Cash Flow
"Preferred Stock, Net",,,,,,,249.0,,,,Cash Flow
Options Exercised,,,,,,,9.0,0.0,1.0,2.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,,528.0,-8.0,-33.0,-32.0,Cash Flow
Long Term Debt Issued,,,,,,,40.0,,,,Cash Flow
Long Term Debt Reduction,,,,,,,-3.0,0.0,-1.0,-2.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,,37.0,0.0,-1.0,-2.0,Cash Flow
Total Cash From Financing,,,,,,,564.0,-8.0,-33.0,-34.0,Cash Flow
Foreign Exchange Effects,,,,,,,-1.0,0.0,-1.0,-2.0,Cash Flow
Net Change in Cash,,,,,,,102.0,-5.0,-102.0,-108.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,,37.0,139.0,139.0,139.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,,139.0,134.0,37.0,31.0,Cash Flow
"Depreciation, Supplemental",,,,,,,20.0,5.0,11.0,17.0,Cash Flow
Free Cash Flow,,,,,,,-17.0,-4.0,-16.0,-22.0,
FCF Growth,,,,,,,,-0.7647058823529411,3.0,0.375,
