,CYRX
% Above Low,0.1938
% Held by Institutions,0.9406
52-Wk Range,['15.79 - 70.90']
Annual Dividend $,
Annual Dividend %,
Ask,23.08
Ask Size,200.0
B/A Ratio,5.5
B/A Size,1100x200
Beta,1.2
Bid,15.97
Bid Size,1100.0
Closing Price,18.85
Day Change $,-0.12
Day Change %,-0.0063
Day High,19.11
Day Low,18.44
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-6.14
Ex-dividend Date,No dividend
Historical Volatility,0.8570000000000001
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,923.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,18.97
Shares Outstanding,49.0M
Short Interest,0.0646
Today's Open,18.84
Volume,135397.0
Volume 10-day Avg,524171.0
Volume Past Day,(Light)
