,DAVA
Price/Earnings (TTM),37.94455
Price/Sales (TTM),4.97992
Price/Book (MRQ),7.21091
Price/Cash Flow (TTM),28.30553
5yr Low,21.13
5yr High,172.41
5yr Avg Return,0.4367199999999999
EPS Growth 5yr,0.3499727
Revenue Growth 5yr,0.3265872
Dividend Growth 5yr,
Short Int Current Month,502771.0
Short Int Prev Month,528059.0
Short Int Pct of Float,0.012471699999999999
Days to Cover,1.27054
Float,18.56059
Shares Outstanding,56.91047
Institutions Holding Shares,222.0
% Held by Institutions,0.725372
FCF Growth 5yr,0.07445388374777118
