,DCPH
% Below High,0.2371
% Held by Institutions,0.6805
52-Wk Range,['6.51 - 20.88']
Annual Dividend $,
Annual Dividend %,
Ask,16.66
Ask Size,100.0
B/A Ratio,27.0
B/A Size,2700x100
Beta,0.8
Bid,15.4
Bid Size,2700.0
Closing Price,15.93
Day Change $,0.52
Day Change %,0.0337
Day High,16.05
Day Low,15.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.46
Ex-dividend Date,No dividend
Historical Volatility,0.741
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,1.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,15.41
Shares Outstanding,67.6M
Short Interest,0.1494
Today's Open,15.33
Volume,146525.0
Volume 10-day Avg,445220.0
Volume Past Day,(Light)
