,DD
% Below High,0.16329999999999997
% Held by Institutions,0.7243
52-Wk Range,['49.52 - 85.16']
Annual Dividend $,1.32
Annual Dividend %,0.018500000000000003
Ask,75.5
Ask Size,300.0
B/A Ratio,11.666666666666666
B/A Size,3500x300
Beta,1.5
Bid,67.0
Bid Size,3500.0
Closing Price,71.25
Day Change $,-0.56
Day Change %,-0.0078000000000000005
Day High,72.12
Day Low,71.08
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.29
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.334
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,35.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.13
Prev Close,71.81
Shares Outstanding,496.8M
Short Interest,0.041100000000000005
Today's Open,71.47
Volume,1051073.0
Volume 10-day Avg,3002876.0
Volume Past Day,(Light)
