,DECK
Price/Earnings (TTM),23.24608
Price/Sales (TTM),2.95521
Price/Book (MRQ),6.65904
Price/Cash Flow (TTM),20.41816
5yr Low,71.52
5yr High,451.49
5yr Avg Return,0.3428833333333333
EPS Growth 5yr,1.471179
Revenue Growth 5yr,0.1196795
Dividend Growth 5yr,
Short Int Current Month,803338.0
Short Int Prev Month,750911.0
Short Int Pct of Float,0.030935100000000004
Days to Cover,1.52245
Float,26.07534
Shares Outstanding,26.4668
Institutions Holding Shares,614.0
% Held by Institutions,1.0066110000000001
FCF Growth 5yr,1.206546904873665
