,DGX
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.29646017699115057
Growth 1yr High Est,-0.31046431046431044
Growth 1yr Consensus Est,-0.3034622437277305
Growth 2yr Low Est,-0.21584015138865703
Growth 2yr High Est,-0.21050853714170292
Growth 2yr Consensus Est,-0.21317434426517998
Growth 5yr Low Est,0.11536988982200516
Growth 5yr High Est,0.14722312450121028
Growth 5yr Consensus Est,0.13129650716160773
Growth 5yr Actual/Est,0.13294686195791633
Growth 3yr Historic,0.24449283345695716
