,DHI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",5.07,7.14,Valuation,0.7100840336134454
Price/Sales (TTM),0.86,7.33,Valuation,0.11732605729877217
Price/Book (MRQ),1.49,2.07,Valuation,0.7198067632850242
"PEG Ratio (TTM, GAAP)",,0.43,Valuation,
Gross Profit Margin (TTM),0.3154,0.3091,Profitability,1.020381753477839
Operating Profit Margin (TTM),0.2279,0.1507,Profitability,1.5122760451227604
Net Profit Margin (TTM),0.1761,0.11320000000000001,Profitability,1.5556537102473498
Annual Dividend Yield,0.011899999999999999,0.016399999999999998,Dividend,0.7256097560975611
Dividend Change %,0.125,0.2639,Dividend,0.473664266767715
"Dividend Growth Rate, 3 Years",0.14470000000000002,0.1757,Dividend,0.8235628912919751
EPS Growth (MRQ),-0.0001,-0.0688,Gowth rates,0.0014534883720930232
EPS Growth (TTM),0.4458,0.16670000000000001,Gowth rates,2.6742651469706056
Revenue Growth (MRQ),0.0969,0.1173,Gowth rates,0.8260869565217391
Revenue Growth (TTM),0.2054,0.149,Gowth rates,1.378523489932886
Return On Equity (TTM),0.3417,0.38439999999999996,Effectiveness,0.8889177939646202
Return On Assets (TTM),0.2169,0.135,Effectiveness,1.6066666666666667
Return On Investment (TTM),0.28190000000000004,0.1699,Effectiveness,1.6592113007651563
Revenue Per Employee (TTM),2529267.0,1633986.0,Effectiveness,1.547912283214177
Total Debt/Total Capital (MRQ),0.2347,0.29309999999999997,Financial strength,0.8007505970658478
Change in Debt/Total Capital Quarter over Quarter,-0.0011,-0.0005,Financial strength,2.2
Quick Ratio (MRQ),,0.53,Financial strength,
Interest Coverage (MRQ),266.92,51.09,Financial strength,5.224505774124094
