,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,52.14,95.09,104.0,104.47,100.7,84.14,,,,,
low,42.05,48.74,65.63,14.16,56.5,61.03,,,,,
change,0.19870000000000002,0.3204,0.25370000000000004,-0.30710000000000004,0.29100000000000004,-0.0288,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,361.0,295.0,264.0,355.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,125.0,98.0,96.0,94.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-5.0,-4.0,-5.0,-4.0,Balance Sheet
"Total Receivables, Net",,,,,,,120.0,94.0,92.0,90.0,Balance Sheet
Prepaid Expenses,,,,,,,39.0,31.0,32.0,28.0,Balance Sheet
Restricted Cash - Current,,,,,,,48.0,47.0,50.0,53.0,Balance Sheet
Discont. Ops.-Curr. Assets,,,,,,,,,,109.0,Balance Sheet
Other Current Assets,,,,,,,7.0,10.0,13.0,11.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,54.0,57.0,62.0,173.0,Balance Sheet
Total Current Assets,,,,,,,574.0,477.0,450.0,646.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,515.0,505.0,530.0,433.0,Balance Sheet
"Goodwill, Net",,,,,,,252.0,252.0,252.0,247.0,Balance Sheet
Intangibles - Net,,,,,,,539.0,537.0,534.0,527.0,Balance Sheet
Note Rcvble - Long Term,,,,,,,93.0,91.0,89.0,88.0,Balance Sheet
Other Long Term Assets,,,,,,,10.0,10.0,10.0,15.0,Balance Sheet
Total Assets,,,,,,,1999.0,1888.0,1882.0,1972.0,Balance Sheet
Accounts Payable,,,,,,,56.0,38.0,39.0,41.0,Balance Sheet
Accrued Expenses,,,,,,,164.0,142.0,145.0,148.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,11.0,11.0,11.0,108.0,Balance Sheet
Dividends Payable,,,,,,,7.0,0.0,8.0,0.0,Balance Sheet
Customer Advances,,,,,,,173.0,144.0,141.0,126.0,Balance Sheet
Discontinued Operations,,,,,,,,,,96.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,180.0,144.0,149.0,222.0,Balance Sheet
Total Current Liabilities,,,,,,,411.0,335.0,344.0,519.0,Balance Sheet
Long Term Debt,,,,,,,1280.0,1280.0,1281.0,1281.0,Balance Sheet
Capital Lease Obligations,,,,,,,92.0,91.0,93.0,60.0,Balance Sheet
Total Long Term Debt,,,,,,,1371.0,1372.0,1374.0,1341.0,Balance Sheet
Total Debt,,,,,,,1382.0,1382.0,1385.0,1450.0,Balance Sheet
Deferred Income Tax,,,,,,,76.0,74.0,75.0,75.0,Balance Sheet
"Other Liabilities, Total",,,,,,,384.0,373.0,397.0,338.0,Balance Sheet
Total Liabilities,,,,,,,2242.0,2153.0,2190.0,2274.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,,256.0,250.0,253.0,257.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,35.0,53.0,68.0,81.0,Balance Sheet
Treasury Stock - Common,,,,,,,-535.0,-568.0,-630.0,-639.0,Balance Sheet
"Other Equity, Total",,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Equity,,,,,,,-243.0,-265.0,-309.0,-302.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,1999.0,1888.0,1882.0,1972.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,17.0,17.0,16.0,16.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,8.0,8.0,9.0,9.0,Balance Sheet
