,DK
% Below High,0.0471
% Held by Institutions,0.9740000000000001
52-Wk Range,['14.07 - 35.45']
Annual Dividend $,0.84
Annual Dividend %,0.024900000000000002
Ask,45.0
Ask Size,600.0
B/A Ratio,1.6666666666666667
B/A Size,1000x600
Beta,1.4
Bid,33.78
Bid Size,1000.0
Closing Price,33.78
Day Change $,-0.05
Day Change %,-0.0015
Day High,34.71
Day Low,33.71
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",4.68
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.628
Last (size),33.0
Last (time),5:00p ET 11/25/22
Market Cap,2.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.22
Prev Close,33.83
Short Interest,0.0858
Today's Open,33.82
Volume,505411.0
Volume 10-day Avg,1201944.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.720689655172414
Growth 1yr High Est,0.9133333333333331
Growth 1yr Consensus Est,0.8170114942528736
Growth 2yr Low Est,0.08880174141386232
Growth 2yr High Est,0.565842044134727
Growth 2yr Consensus Est,0.3273218927742947
Growth 5yr Low Est,0.04440087070693116
Growth 5yr High Est,0.2829210220673635
Growth 5yr Consensus Est,0.16366094638714734
Growth 5yr Actual/Est,-1.8500594797772398
Growth 3yr Historic,-0.965396613190731
Price/Earnings (TTM),7.22412
Price/Sales (TTM),0.12473
Price/Book (MRQ),2.02782
Price/Cash Flow (TTM),3.65106
5yr Low,7.79
5yr High,61.57
5yr Avg Return,0.11349999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.20461649999999998
Dividend Growth 5yr,
Short Int Current Month,5863800.0
Short Int Prev Month,7119918.0
Short Int Pct of Float,0.0857957
Days to Cover,3.70237
Float,68.33154
Shares Outstanding,69.69232
Institutions Holding Shares,298.0
FCF Growth 5yr,-32.920489911399
"Price/Earnings (TTM, GAAP)",7.22
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0993
Operating Profit Margin (TTM),0.0309
Net Profit Margin (TTM),0.0194
Annual Dividend Yield,0.024900000000000002
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.9794
EPS Growth (TTM),1.8116
Revenue Growth (MRQ),-0.1099
Revenue Growth (TTM),1.0031999999999999
Return On Equity (TTM),0.3308
Return On Assets (TTM),0.0484
Return On Investment (TTM),0.0882
Revenue Per Employee (TTM),5698853.0
Total Debt/Total Capital (MRQ),0.6806
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.63
Interest Coverage (MRQ),2.23
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-21 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-08-05 00:00:00
