,DMRC
% Above Low,0.7622
% Held by Institutions,0.589
52-Wk Range,['12.45 - 46.18']
Annual Dividend $,
Annual Dividend %,
Ask,23.77
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.4
Bid,15.0
Bid Size,300.0
Closing Price,21.94
Day Change $,-0.39
Day Change %,-0.0175
Day High,23.08
Day Low,21.76
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.03
Ex-dividend Date,No dividend
Historical Volatility,0.751
Last (size),6.0
Last (time),12:59p ET 11/25/22
Market Cap,438.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,22.33
Shares Outstanding,20.0M
Short Interest,0.1723
Today's Open,22.1
Volume,44685.0
Volume 10-day Avg,101852.0
Volume Past Day,(Light)
