,DOCS
Price/Earnings (TTM),48.22343
Price/Sales (TTM),15.85067
Price/Book (MRQ),6.92448
Price/Cash Flow (TTM),40.93623
5yr Low,22.91
5yr High,107.79
5yr Avg Return,-0.07880000000000001
Short Int Current Month,16309638.0
Short Int Prev Month,17232569.0
Short Int Pct of Float,0.1472629
Days to Cover,3.74321
Float,110.9766
Shares Outstanding,192.4882
Institutions Holding Shares,319.0
% Held by Institutions,0.951622
FCF Growth 5yr,0.2693140934211369
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
