,DRVN
% Below High,0.13119999999999998
% Held by Institutions,1.0331000000000001
52-Wk Range,['24.62 - 35.45']
Annual Dividend $,
Annual Dividend %,
Ask,32.5
Ask Size,100.0
B/A Ratio,34.0
B/A Size,3400x100
Beta,
Bid,28.0
Bid Size,3400.0
Closing Price,30.8
Day Change $,0.03
Day Change %,0.001
Day High,31.03
Day Low,30.59
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.15
Ex-dividend Date,No dividend
Historical Volatility,0.41100000000000003
Last (size),28.0
Last (time),12:59p ET 11/25/22
Market Cap,5.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,30.77
Short Interest,0.0669
Today's Open,30.89
Volume,373727.0
Volume 10-day Avg,445527.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.40963855421686746
Growth 1yr High Est,0.4204545454545454
Growth 1yr Consensus Est,0.41504654983570644
Growth 2yr Low Est,0.2304603027494594
Growth 2yr High Est,0.27022727272727265
Growth 2yr Consensus Est,0.250343787738366
Growth 5yr Low Est,0.2304603027494594
Growth 5yr High Est,0.27022727272727265
Growth 5yr Consensus Est,0.250343787738366
Growth 5yr Actual/Est,0.5231372163190345
Growth 3yr Historic,0.3650793650793651
Price/Earnings (TTM),
Price/Sales (TTM),2.73468
Price/Book (MRQ),3.30776
Price/Cash Flow (TTM),43.4475
5yr Low,22.26
5yr High,35.56
5yr Avg Return,0.05825
Short Int Current Month,3679330.0
Short Int Prev Month,3880340.0
Short Int Pct of Float,0.0669078
Days to Cover,5.97313
Float,162.8894
Shares Outstanding,167.4041
Institutions Holding Shares,212.0
FCF Growth 5yr,-0.26500402841866255
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.48
Operating Profit Margin (TTM),0.071
Net Profit Margin (TTM),-0.0122
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.6566999999999998
EPS Growth (TTM),-1.6443
Revenue Growth (MRQ),0.015700000000000002
Revenue Growth (TTM),0.3824
Return On Equity (TTM),-0.014199999999999999
Return On Assets (TTM),-0.0040999999999999995
Return On Investment (TTM),-0.0045000000000000005
Revenue Per Employee (TTM),190447.0
Total Debt/Total Capital (MRQ),0.6314000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0029
Quick Ratio (MRQ),0.98
Interest Coverage (MRQ),2.35
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-04-28 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
theStreet since,2022-04-28 00:00:00
newConstructs since,
marketEdge opinion since,
