,DSKE
% Above Low,0.2111
% Held by Institutions,0.4302
52-Wk Range,['4.69 - 13.17']
Annual Dividend $,
Annual Dividend %,
Ask,6.0
Ask Size,1000.0
B/A Ratio,1.0
B/A Size,1000x1000
Beta,1.9
Bid,5.5
Bid Size,1000.0
Closing Price,5.68
Day Change $,0.02
Day Change %,0.0034999999999999996
Day High,5.79
Day Low,5.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.68
Ex-dividend Date,No dividend
Historical Volatility,0.618
Last (size),19.0
Last (time),1:00p ET 11/25/22
Market Cap,254.9M
"P/E Ratio (TTM, GAAP)",8.4
Prev Close,5.66
Shares Outstanding,44.9M
Short Interest,0.0246
Today's Open,5.72
Volume,57077.0
Volume 10-day Avg,422142.0
Volume Past Day,(Light)
