,DTE
Price/Earnings (TTM),19.95282
Price/Sales (TTM),1.14633
Price/Book (MRQ),2.47636
Price/Cash Flow (TTM),8.62595
5yr Low,71.21
5yr High,145.43
5yr Avg Return,0.003383333333333332
EPS Growth 5yr,-0.0329016
Revenue Growth 5yr,0.0707865
Dividend Growth 5yr,0.055621000000000004
Short Int Current Month,1917921.0
Short Int Prev Month,4607800.0
Short Int Pct of Float,0.0099779
Days to Cover,1.2948
Float,192.2375
Shares Outstanding,193.742
Institutions Holding Shares,948.0
% Held by Institutions,0.744619
FCF Growth 5yr,-3.182004396238169
