,EAT
% Below High,0.2094
% Held by Institutions,1.0463
52-Wk Range,['21.47 - 44.03']
Annual Dividend $,
Annual Dividend %,
Ask,36.0
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,2.3
Bid,33.98
Bid Size,200.0
Closing Price,34.81
Day Change $,0.21
Day Change %,0.0060999999999999995
Day High,34.87
Day Low,34.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.63
Ex-dividend Date,No dividend
Historical Volatility,0.625
Last (size),21.0
Last (time),5:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.35
Prev Close,34.6
Shares Outstanding,44.0M
Short Interest,0.0969
Today's Open,34.76
Volume,257003.0
Volume 10-day Avg,734811.0
Volume Past Day,(Light)
