,EB
% Above Low,0.2309
% Held by Institutions,0.9723999999999999
52-Wk Range,['5.76 - 18.15']
Annual Dividend $,
Annual Dividend %,
Ask,7.46
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,2.5
Bid,6.01
Bid Size,300.0
Closing Price,7.09
Day Change $,-0.09
Day Change %,-0.0125
Day High,7.21
Day Low,7.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.78
Ex-dividend Date,No dividend
Historical Volatility,0.61
Last (size),37.0
Last (time),5:00p ET 11/25/22
Market Cap,700.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.18
Shares Outstanding,98.7M
Short Interest,0.1925
Today's Open,7.12
Volume,381745.0
Volume 10-day Avg,813862.0
Volume Past Day,(Light)
