,ECPG
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.062264150943396324
Growth 1yr High Est,0.03242769500438203
Growth 1yr Consensus Est,0.047345922973889176
Growth 2yr Low Est,-0.2104309795904688
Growth 2yr High Est,-0.1620544037711536
Growth 2yr Consensus Est,-0.1862426916808112
Growth 5yr Low Est,0.1032620188552846
Growth 5yr High Est,0.12031773482328392
Growth 5yr Consensus Est,0.11178987683928426
Growth 5yr Actual/Est,0.09767573207017297
Growth 3yr Historic,0.18885605855245324
