,EGBN
Price/Earnings (TTM),10.67674
Price/Sales (TTM),4.20476
Price/Book (MRQ),1.22777
Price/Cash Flow (TTM),10.35279
5yr Low,23.08
5yr High,69.8
5yr Avg Return,-0.03759999999999999
EPS Growth 5yr,0.1407134
Revenue Growth 5yr,0.049843599999999995
Dividend Growth 5yr,
Short Int Current Month,727586.0
Short Int Prev Month,689668.0
Short Int Pct of Float,0.023318699999999998
Days to Cover,4.86546
Float,31.24735
Shares Outstanding,31.91867
Institutions Holding Shares,252.0
% Held by Institutions,0.752396
FCF Growth 5yr,0.13263971007341743
