,EIX
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.05581395348837215
Growth 1yr High Est,0.026607538802660757
Growth 1yr Consensus Est,0.04121074614551645
Growth 2yr Low Est,0.031210941501895406
Growth 2yr High Est,0.04786100482249667
Growth 2yr Consensus Est,0.039535973162196036
Growth 5yr Low Est,0.020230241500134055
Growth 5yr High Est,0.007134436158660329
Growth 5yr Consensus Est,0.013682338829397192
Growth 5yr Actual/Est,0.005215433117524482
Growth 3yr Historic,-0.005702786669177229
